rot (deg),freq (GHz),abs(emw.S11)^2 (1)
70,3.244897959,0.835672728
70,3.265306122,0.811422673
70,3.285714286,0.785696211
70,3.306122449,0.757957093
70,3.326530612,0.725747108
70,3.346938776,0.685814529
70,3.367346939,0.634351792
70,3.387755102,0.564724565
70,3.408163265,0.489383638
70,3.428571429,0.41132815
70,3.448979592,0.328213361
70,3.469387755,0.238918468
70,3.489795918,0.14954785
70,3.510204082,0.081814103
70,3.530612245,0.057387205
70,3.551020408,0.076763222
70,3.571428571,0.138684238
70,3.591836735,0.22391159
70,3.612244898,0.318200868
70,3.632653061,0.415192303
70,3.653061224,0.499569413
70,3.673469388,0.571939284
70,3.693877551,0.636114871
70,3.714285714,0.687680202
70,3.734693878,0.729936431
70,3.755102041,0.767027107
70,3.775510204,0.797524403
70,3.795918367,0.821302438
70,3.816326531,0.84052275
70,3.836734694,0.857018344
70,3.857142857,0.872249339
70,3.87755102,0.887002526
70,3.897959184,0.898252201
70,3.918367347,0.907436223
70,3.93877551,0.915135715
70,3.959183673,0.92187209
70,3.979591837,0.928101619
70,4,0.934216575
80,3,0.952114447
80,3.020408163,0.948089238
80,3.040816327,0.943990008
80,3.06122449,0.939603375
80,3.081632653,0.934690852
80,3.102040816,0.928989389
80,3.12244898,0.922213968
80,3.142857143,0.913666111
80,3.163265306,0.904926369
80,3.183673469,0.89556433
80,3.204081633,0.884864041
80,3.224489796,0.87198718
80,3.244897959,0.855979363
80,3.265306122,0.834078024
80,3.285714286,0.811171366
80,3.306122449,0.78675198
80,3.326530612,0.758374105
80,3.346938776,0.722955941
80,3.367346939,0.677032837
80,3.387755102,0.611886699
80,3.408163265,0.541308735
80,3.428571429,0.470923974
80,3.448979592,0.397721697
80,3.469387755,0.317239512
80,3.489795918,0.233929432
80,3.510204082,0.168221954
80,3.530612245,0.141662775
80,3.551020408,0.155059688
80,3.571428571,0.207950774
80,3.591836735,0.282585261
80,3.612244898,0.366106997
80,3.632653061,0.454622997
80,3.653061224,0.530971878
80,3.673469388,0.596599922
80,3.693877551,0.655360302
80,3.714285714,0.702442084
80,3.734693878,0.74105228
80,3.755102041,0.774744717
80,3.775510204,0.80187539
80,3.795918367,0.824222585
80,3.816326531,0.843806557
80,3.836734694,0.859944909
80,3.857142857,0.873441464
80,3.87755102,0.885438315
80,3.897959184,0.895807353
80,3.918367347,0.90426888
